Initial conditions [N0,M0,E0,B0] = [3.000e+09,9.000e+07,9.000e+07,2.000e+11] with main parameters used to perturb with sigma = 5.00e-02: rN = 1.60e-01,rMmax = 4.14e-01,rMmin = 2.14e-02,tau = 1.88e+01,kN = 2.50e+11,kM = 7.98e+10,mu = 4.81e-01,rB = 6.50e-02, rEff0 = 2.26e+00, alpha_1 = 4.29e+00, alpha_2 = 1.35e+00 ,Gamma_E = 3.00e-12,Gamma_B = 6.00e-11, stochastic threshold = 100
time to event	progression or cure?	params
328.9775343715118	progression	[0.166555, 0.430838, 0.0237399, 20.1325, 2.48156e11, 7.73165e10, 0.469353, 0.0674297, 2.1701, 4.20893, 1.24542, 3.14555e-12, 5.9847e-11]
408.7800316484606	progression	[0.161643, 0.391186, 0.0209886, 18.1608, 2.46763e11, 7.87064e10, 0.51437, 0.0615457, 2.30176, 4.47762, 1.29814, 3.04549e-12, 6.17401e-11]
20.907511382039182	cure	[0.15492, 0.452011, 0.0222934, 18.1022, 2.48627e11, 7.53285e10, 0.453077, 0.0637212, 2.23909, 4.18629, 1.38284, 3.21532e-12, 6.44076e-11]
439.00009677766656	progression	[0.149438, 0.401954, 0.0213677, 17.7989, 2.68948e11, 7.58793e10, 0.452074, 0.0660426, 2.33889, 4.12948, 1.39535, 3.28044e-12, 5.63243e-11]
14.010598707202872	cure	[0.146759, 0.43335, 0.0240744, 18.9312, 2.45803e11, 8.4156e10, 0.46935, 0.0701087, 2.29349, 4.71755, 1.1857, 3.09383e-12, 6.13333e-11]
527.1648526086202	progression	[0.160764, 0.40143, 0.0229601, 18.0647, 2.5889e11, 8.47944e10, 0.487455, 0.0631206, 2.30295, 4.0923, 1.27958, 3.08627e-12, 5.90588e-11]
326.70699192941055	progression	[0.157914, 0.41438, 0.0210321, 20.6939, 2.43618e11, 7.53507e10, 0.486887, 0.0696244, 2.20018, 4.277, 1.31326, 3.01934e-12, 5.92729e-11]
18.778160740286488	cure	[0.156494, 0.409589, 0.0213817, 19.2714, 2.46658e11, 8.52259e10, 0.462389, 0.0662379, 2.35411, 4.23334, 1.29682, 2.81793e-12, 5.87936e-11]
370.1569972360917	progression	[0.160843, 0.336272, 0.0223712, 18.389, 2.46674e11, 8.60872e10, 0.487902, 0.0677959, 2.13626, 4.30848, 1.39109, 2.81567e-12, 6.25199e-11]
288.38064438349835	progression	[0.176071, 0.426027, 0.0221108, 18.0048, 2.6075e11, 8.0466e10, 0.507188, 0.0647839, 1.96651, 4.53691, 1.29975, 2.93091e-12, 6.36458e-11]
71.5540586533428	cure	[0.169096, 0.429789, 0.0212933, 18.0747, 2.38863e11, 8.2152e10, 0.489912, 0.0664675, 2.38641, 4.10407, 1.39985, 3.08148e-12, 5.75765e-11]
391.5094234479522	progression	[0.158301, 0.404797, 0.0207869, 20.52, 2.47467e11, 8.04369e10, 0.486549, 0.068699, 2.1861, 4.66449, 1.25905, 3.12018e-12, 6.03556e-11]
412.0896988028128	progression	[0.158304, 0.379323, 0.0213251, 19.5611, 2.40468e11, 8.02567e10, 0.491012, 0.0639531, 2.25832, 3.97435, 1.33259, 3.05751e-12, 6.08482e-11]
398.7579040742942	progression	[0.149453, 0.402359, 0.0224879, 19.8633, 2.68761e11, 7.81493e10, 0.455071, 0.0642917, 2.05563, 4.67781, 1.26357, 2.87329e-12, 5.85225e-11]
16.712948356885622	cure	[0.151023, 0.427432, 0.0204711, 18.5769, 2.37331e11, 8.05346e10, 0.493018, 0.0643357, 2.12267, 4.43104, 1.36372, 2.9435e-12, 6.87215e-11]
15.975718533392868	cure	[0.154767, 0.426348, 0.0209303, 19.2288, 2.41902e11, 8.18178e10, 0.471025, 0.0657877, 2.58501, 4.28141, 1.32911, 2.91311e-12, 5.55666e-11]
423.69126488557293	progression	[0.166333, 0.472056, 0.0210875, 18.8647, 2.55294e11, 7.52871e10, 0.452889, 0.068943, 2.42185, 4.18711, 1.36123, 2.80598e-12, 5.88304e-11]
15.006976213065828	cure	[0.150529, 0.459749, 0.0197073, 19.1563, 2.59316e11, 7.69444e10, 0.495377, 0.0648614, 2.29694, 3.96546, 1.39641, 3.01576e-12, 6.24981e-11]
